Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/629-Chislett-St-Pittsburgh-PA-15206/11622257_zpid/","","","241000","230700","2070","100200","10/13/2023","","","","1600","sqft","150.63","5","2","","Judy Pison","No","No","","629 Chislett St","Pittsburgh","15206","PA","USA","40.470528","-79.930626"
"https://www.zillow.com/homedetails/3615-Mount-Troy-Rd-Pittsburgh-PA-15212/11271112_zpid/","","","250000","269200","1366","168100","10/12/2023","","","","6534","sqft","38.26","4","2","","Robert Strohm","No","No","","3615 Mount Troy Rd","Pittsburgh","15212","PA","USA","40.49008","-79.9925"
"https://www.zillow.com/homedetails/23-S-27th-St-Pittsburgh-PA-15203/87986485_zpid/","","","245000","245000","1498","262200","10/05/2023","","","","2387.09","sqft","102.64","3","2","","Dominic Janidas","No","No","","23 S 27th St","Pittsburgh","15203","PA","USA","40.42631","-79.96726"
"https://www.zillow.com/homedetails/215-Center-Ave-Bellevue-PA-15202/2130402578_zpid/","","","223000","220300","1627","","10/04/2023","","","","6429.46","sqft","34.68","","","","Christopher Schneider","No","No","","215 Center Ave","Bellevue","15202","PA","USA","40.512974","-80.09784"
"https://www.zillow.com/homedetails/127-Elmont-St-Pittsburgh-PA-15205/11475922_zpid/","","","229000","229000","799","121800","09/29/2023","","","","4356","sqft","52.57","4","2","","Diane Wheeler","No","No","","127 Elmont St","Pittsburgh","15205","PA","USA","40.439957","-80.05423"
"https://www.zillow.com/homedetails/1586-Electric-Ave-East-Pittsburgh-PA-15112/164376708_zpid/","","","195900","195900","1635","600","09/29/2023","","","","3615.48","sqft","54.18","5","4","","Matt O'Donnell","No","No","","1586 Electric Ave","East pittsburgh","15112","PA","USA","40.40534","-79.83932"
"https://www.zillow.com/homedetails/2128-Carolina-Ave-West-Mifflin-PA-15122/2055927873_zpid/","","","229000","229000","898","","09/29/2023","","","","7501.03","sqft","30.53","4","4","","Lisa Haberstroh","No","No","","2128 Carolina Ave","West Mifflin","15122","PA","USA","40.361046","-79.87027"
"https://www.zillow.com/homedetails/415-Hampton-Ave-Pittsburgh-PA-15221/11342790_zpid/","","","240000","240000","2500","70000","09/27/2023","","","","3497.87","sqft","68.61","4","3","","Eric Knolle","No","No","","415 Hampton Ave","Pittsburgh","15221","PA","USA","40.43698","-79.888626"
"https://www.zillow.com/homedetails/327-Helen-St-Mc-Kees-Rocks-PA-15136/119347072_zpid/","","","175000","175000","3602","69000","09/25/2023","","","","3001.28","sqft","58.31","4","4","","Vincent Trocheck","No","No","","327 Helen St","Mc Kees Rocks","15136","PA","USA","40.474716","-80.05822"
"https://www.zillow.com/homedetails/2192-2194-Pauline-Ave-Pittsburgh-PA-15216/2058361869_zpid/","","","180000","","1392","","09/25/2023","","","","5898.02","sqft","30.52","6","3","","Brett Chupinka","No","No","","2192-2194 Pauline Ave","Pittsburgh","15216","PA","USA","",""
"https://www.zillow.com/homedetails/110-112-Emrose-Dr-Pittsburgh-PA-15235/2069108597_zpid/","","","194900","","1217","","09/25/2023","","","","6189.88","sqft","31.49","4","2","","Jeffrey Stanley","No","No","","110-112 Emrose Dr","Pittsburgh","15235","PA","USA","",""
"https://www.zillow.com/homedetails/434-Miami-St-East-Mc-Keesport-PA-15035/11537905_zpid/","","","210000","210000","799","153100","09/22/2023","","","","3998.81","sqft","52.52","6","4","","Matthew Johnston","No","No","","434 Miami St","East Mc Keesport","15035","PA","USA","40.381554","-79.81049"
"https://www.zillow.com/homedetails/430-432-3rd-Ave-Carnegie-PA-15106/11254026_zpid/","","","250000","249900","1719","123300","09/18/2023","","","","6412.03","sqft","38.99","4","2","","Brenda Griffith","No","No","","430-432 3rd Ave","Carnegie","15106","PA","USA","40.402744","-80.09244"
"https://www.zillow.com/homedetails/507-Grant-Ave-Carnegie-PA-15106/11253264_zpid/","","","173500","173500","1500","105900","09/15/2023","","","","6098.4","sqft","28.45","2","2","","Erin Musciano","No","No","","507 Grant Ave","Carnegie","15106","PA","USA","40.392822","-80.09329"
"https://www.zillow.com/homedetails/1004-1006-Lake-St-Mc-Kees-Rocks-PA-15136/2057472397_zpid/","","","185000","","998","","09/15/2023","","","","6500","sqft","28.46","2","1","","Thomas Ozga","No","No","","1004-1006 Lake St","Mc Kees Rocks","15136","PA","USA","",""
"https://www.zillow.com/homedetails/136-Amelia-St-Mc-Kees-Rocks-PA-15136/11595145_zpid/","","","199000","198900","1429","10000","09/12/2023","","","","8712","sqft","22.84","5","2","","James Schons","No","No","","136 Amelia St","Mc Kees Rocks","15136","PA","USA","40.46654","-80.06876"
"https://www.zillow.com/homedetails/2-Stowe-St-Pittsburgh-PA-15205/11588114_zpid/","","","179777","177700","1228","131900","09/11/2023","","","","3846.35","sqft","46.74","5","2","","Donald Bennett","No","No","","2 Stowe St","Pittsburgh","15205","PA","USA","40.44735","-80.066536"
"https://www.zillow.com/homedetails/1116-Arkansas-Ave-Pittsburgh-PA-15216/11653131_zpid/","","","193750","193700","1494","111700","09/07/2023","","","","2896.74","sqft","66.89","4","2","","Mark Ratti","No","No","","1116 Arkansas Ave","Pittsburgh","15216","PA","USA","40.391518","-80.029564"
"https://www.zillow.com/homedetails/133-E-Virginia-Ave-Homestead-PA-15120/11295493_zpid/","","","194000","","1323","76900","09/06/2023","","","","3998.81","sqft","48.51","3","3","","Lois Harkness","No","No","","133 E Virginia Ave","Homestead","15120","PA","USA","40.38562","-79.901405"
