Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/1484-Blossom-Hill-Rd-Pittsburgh-PA-15234/11396292_zpid/","","","180000","193700","1645","87400","10/16/2023","1283","sqft","140.3","5501.63","sqft","32.72","3","2","","Alecia DiMatteo","No","No","","1484 Blossom Hill Rd","Pittsburgh","15234","PA","USA","40.359863","-80.02022"
"https://www.zillow.com/homedetails/1237-Harvest-Dr-Monroeville-PA-15146/11654185_zpid/","","","176000","154500","1800","127700","10/16/2023","1700","sqft","103.53","9448.16","sqft","18.63","4","3","","Deb Walton","No","No","","1237 Harvest Dr","Monroeville","15146","PA","USA","40.41232","-79.74838"
"https://www.zillow.com/homedetails/3825-Bonaventure-Way-Pittsburgh-PA-15212/11269208_zpid/","","","180000","164900","1250","59400","10/13/2023","1650","sqft","109.09","4560.73","sqft","39.47","3","1","","Christina Robertson","No","No","","3825 Bonaventure Way","Pittsburgh","15212","PA","USA","40.484215","-80.0418"
"https://www.zillow.com/homedetails/1859-Hughes-St-Bridgeville-PA-15017/11361371_zpid/","","","180000","180000","1257","87500","10/05/2023","700","sqft","257.14","0.33","acres","540702.91","2","2","","Diana Graves","No","No","","1859 Hughes St","Bridgeville","15017","PA","USA","40.37415","-80.09013"
"https://www.zillow.com/homedetails/5106-Hardt-Rd-Gibsonia-PA-15044/11298170_zpid/","","","180000","180000","1999","141600","09/29/2023","","","","5.3","acres","33962.26","2","2","","Margo Cicci","No","No","","5106 Hardt Rd","Gibsonia","15044","PA","USA","40.608646","-79.97339"
"https://www.zillow.com/homedetails/22-Elma-Dr-Pittsburgh-PA-15227/11304695_zpid/","","","179000","179000","1474","92000","09/29/2023","1809","sqft","98.95","5180","sqft","34.56","3","2","","Kim Stotlemyer","No","No","","22 Elma Dr","Pittsburgh","15227","PA","USA","40.381844","-79.96739"
"https://www.zillow.com/homedetails/2432-Patterson-St-Pittsburgh-PA-15203/11308056_zpid/","","","178375","178400","1366","66300","09/26/2023","1096","sqft","162.75","2465.5","sqft","72.35","2","2","","Kristi Stebler","No","No","","2432 Patterson St","Pittsburgh","15203","PA","USA","40.418987","-79.97124"
"https://www.zillow.com/homedetails/477-Holdsworth-Dr-Pittsburgh-PA-15236/11468448_zpid/","","","180000","180000","1650","93000","09/21/2023","1023","sqft","175.95","6625.48","sqft","27.17","3","2","","William Hook","No","No","","477 Holdsworth Dr","Pittsburgh","15236","PA","USA","40.341827","-79.97555"
"https://www.zillow.com/homedetails/5221-Broad-St-Pittsburgh-PA-15224/11520169_zpid/","","","180000","180000","1545","56900","09/20/2023","1072","sqft","167.91","2500.34","sqft","71.99","2","1","","Jesse Kohser","No","No","","5221 Broad St","Pittsburgh","15224","PA","USA","40.466152","-79.93867"
"https://www.zillow.com/homedetails/77-Taylor-St-Pittsburgh-PA-15205/11585027_zpid/","","","180000","180000","1414","96000","09/19/2023","","","","6076.62","sqft","29.62","3","1","","Staci McDonough","No","No","","77 Taylor St","Pittsburgh","15205","PA","USA","40.434837","-80.0738"
"https://www.zillow.com/homedetails/922-Jefferson-Heights-Rd-Pittsburgh-PA-15235/11533657_zpid/","","","179900","179900","1764","118400","09/15/2023","1591","sqft","113.07","9818.42","sqft","18.32","3","2","","Deborah Kane","No","No","","922 Jefferson Heights Rd","Pittsburgh","15235","PA","USA","40.452995","-79.81533"
"https://www.zillow.com/homedetails/51-Dean-St-Carnegie-PA-15106/11581937_zpid/","","","180000","180000","2022","53500","09/15/2023","1191","sqft","151.13","3223.44","sqft","55.84","3","3","","Elaine Goldblum","No","No","","51 Dean St","Carnegie","15106","PA","USA","40.406624","-80.0811"
"https://www.zillow.com/homedetails/842-Weigles-Hill-Rd-Elizabeth-PA-15037/11288635_zpid/","","","180000","180000","1285","121400","09/08/2023","3413","sqft","52.74","0.4","acres","451240.91","3","2","","Lisa Jackson","No","No","","842 Weigles Hill Rd","Elizabeth","15037","PA","USA","40.25894","-79.85985"
"https://www.zillow.com/homedetails/129-Saniel-Dr-West-Mifflin-PA-15122/11466294_zpid/","","","178200","178200","1559","73000","09/08/2023","","","","0.26","acres","685384.62","3","3","","Elizabeth Baxendell","No","No","","129 Saniel Dr","West Mifflin","15122","PA","USA","40.340584","-79.89544"
"https://www.zillow.com/homedetails/1359-Keever-Ave-Pittsburgh-PA-15205/11476739_zpid/","","","180000","179900","1569","110000","09/08/2023","875","sqft","205.71","5627.95","sqft","31.98","3","2","","Saran Gurung","No","No","","1359 Keever Ave","Pittsburgh","15205","PA","USA","40.434647","-80.05408"
"https://www.zillow.com/homedetails/376-Colfax-St-Springdale-PA-15144/11564429_zpid/","","","180000","179900","1397","90000","09/08/2023","","","","5161.86","sqft","34.87","3","1","","Shawnda Smoker","No","No","","376 Colfax St","Springdale","15144","PA","USA","40.54325","-79.783905"
"https://www.zillow.com/homedetails/118-McVey-St-Sturgeon-PA-15082/59854617_zpid/","","","180000","180300","873","96100","09/08/2023","1488","sqft","120.97","4791.6","sqft","37.57","3","1","","Gina Fonzi","No","No","","118 McVey St","Sturgeon","15082","PA","USA","40.38005","-80.20999"
