Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/627-McGowan-Ave-West-Mifflin-PA-15122/11466655_zpid/","","","80000","","1975","71900","10/13/2023","1736","sqft","46.08","9600.62","sqft","8.33","4","3","","Libby Sosinski","No","No","","627 McGowan Ave","West Mifflin","15122","PA","USA","40.342113","-79.8998"
"https://www.zillow.com/homedetails/517-Route-88-Pittsburgh-PA-15234/2057446273_zpid/","","","75000","","1588","","10/13/2023","1360","sqft","55.15","10454.4","sqft","7.17","3","3","","Jane Bloch","No","No","","517 Route 88","Pittsburgh","15234","PA","USA","",""
"https://www.zillow.com/homedetails/257-Saint-Croix-Dr-Pittsburgh-PA-15235/11568133_zpid/","","","79700","79700","1399","63000","10/11/2023","","","","4356","sqft","18.3","3","1","","Laura Underhill","No","No","","257 Saint Croix Dr","Pittsburgh","15235","PA","USA","40.48285","-79.79724"
"https://www.zillow.com/homedetails/438-Coal-Rd-West-Mifflin-PA-15122/11349154_zpid/","","","75000","75000","1109","64000","10/10/2023","952","sqft","78.78","0.92","acres","81495.16","2","1","","Rand Hudson","No","No","","438 Coal Rd","West Mifflin","15122","PA","USA","40.38537","-79.89091"
"https://www.zillow.com/homedetails/32-Adrian-St-Mc-Kees-Rocks-PA-15136/11602578_zpid/","","","75250","75200","1964","17700","10/06/2023","1890","sqft","39.81","4538.95","sqft","16.58","3","3","","Kimberly Agapito","No","No","","32 Adrian St","Mc Kees Rocks","15136","PA","USA","40.474678","-80.06354"
"https://www.zillow.com/homedetails/140-Nuzum-Ave-Pittsburgh-PA-15210/11647640_zpid/","","","79000","79000","1599","62600","10/05/2023","1211","sqft","65.24","0.28","acres","282142.86","3","2","","Robert Moncavage","No","No","","140 Nuzum Ave","Pittsburgh","15210","PA","USA","40.39005","-79.983696"
"https://www.zillow.com/homedetails/176-Frank-St-Homestead-PA-15120/11347556_zpid/","","","79900","79900","1200","48300","10/03/2023","","","","5227.2","sqft","15.29","2","2","","Mario A Rudolph","No","No","","176 Frank St","Homestead","15120","PA","USA","40.400253","-79.891136"
"https://www.zillow.com/homedetails/2812-Laurel-Ave-Natrona-Heights-PA-15065/2055723422_zpid/","","","75000","75000","700","","09/29/2023","706","sqft","106.23","5649.73","sqft","13.27","1","1","","Karen Kozma","No","No","","2812 Laurel Ave","Natrona Heights","15065","PA","USA","40.63874","-79.72095"
"https://www.zillow.com/homedetails/269-N-Balph-Ave-Pittsburgh-PA-15202/11369584_zpid/","","","78750","78800","1450","100300","09/28/2023","1222","sqft","64.44","4791.6","sqft","16.44","3","1","","Robert Moncavage","No","No","","269 N Balph Ave","Pittsburgh","15202","PA","USA","40.50276","-80.050934"
"https://www.zillow.com/homedetails/138-Hawthorne-Ave-Carnegie-PA-15106/11582994_zpid/","","","76305","76300","1150","53000","09/27/2023","930","sqft","82.05","5662.8","sqft","13.47","2","1","","John Butera","No","No","","138 Hawthorne Ave","Carnegie","15106","PA","USA","40.415672","-80.0679"
