Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/1316-Wesley-St-Pittsburgh-PA-15221/11379616_zpid/","","","14900","","1530","36000","10/16/2023","2830","sqft","5.27","3149.39","sqft","4.73","3","2","","Kathy Armstrong","No","No","","1316 Wesley St","Pittsburgh","15221","PA","USA","40.443203","-79.87224"
"https://www.zillow.com/homedetails/443-Porter-St-North-Versailles-PA-15137/11459003_zpid/","","","13900","","1300","79600","10/13/2023","1264","sqft","11","5662.8","sqft","2.45","3","1","","Robert Moncavage","No","No","","443 Porter St","North Versailles","15137","PA","USA","40.387325","-79.835205"
"https://www.zillow.com/homedetails/412-W-9th-Ave-Tarentum-PA-15084/11278956_zpid/","","","15000","","1214","50700","10/10/2023","1712","sqft","8.76","5998.21","sqft","2.5","3","1","","Mary Ann Urbanski","No","No","","412 W 9th Ave","Tarentum","15084","PA","USA","40.599342","-79.76669"
"https://www.zillow.com/homedetails/Shafton-Ave-Irwin-PA-15642/333212871_zpid/","","","5800","","1376","1110","10/10/2023","","","","0.29","acres","19739.67","","","","","No","No","","Shafton Ave","Irwin","15642","PA","USA","40.3496","-79.78295"
"https://www.zillow.com/homedetails/214-Grape-Way-Clairton-PA-15025/11604949_zpid/","","","12000","","849","12800","09/26/2023","825","sqft","14.55","2199.78","sqft","5.46","2","1","","Gerald Irwin","No","No","","214 Grape Way","Clairton","15025","PA","USA","40.306038","-79.886505"
"https://www.zillow.com/homedetails/870-Vista-St-Pittsburgh-PA-15212/11394794_zpid/","","","13500","","1551","65300","09/22/2023","2800","sqft","4.82","6908.62","sqft","1.95","3","1","","Libby Sosinski","No","No","","870 Vista St","Pittsburgh","15212","PA","USA","40.458927","-79.99622"
"https://www.zillow.com/homedetails/2313-Collins-St-McKeesport-PA-15132/11463874_zpid/","","","12500","","979","31600","09/22/2023","1084","sqft","11.53","5000.69","sqft","2.5","2","1","","Cory Fast","No","No","","2313 Collins St","McKeesport","15132","PA","USA","40.336792","-79.83599"
"https://www.zillow.com/homedetails/1228-Morrow-St-Pittsburgh-PA-15221/11380973_zpid/","","","15000","","1314","31200","09/21/2023","","","","3049.2","sqft","4.92","4","1","","Dustin Nulf","No","No","","1228 Morrow St","Pittsburgh","15221","PA","USA","40.436363","-79.874664"
"https://www.zillow.com/homedetails/646-Airbrake-Ave-Wilmerding-PA-15148/11536464_zpid/","","","9000","","1240","26200","09/21/2023","1426","sqft","6.31","3149.39","sqft","2.86","3","1","","Kathy Armstrong","No","No","","646 Airbrake Ave","Wilmerding","15148","PA","USA","40.397377","-79.81165"
"https://www.zillow.com/homedetails/2708-Forest-Ave-McKeesport-PA-15132/11499833_zpid/","","","10000","","950","32300","09/15/2023","772","sqft","12.95","4107.71","sqft","2.43","3","1","","Ryan Shedlock","No","No","","2708 Forest Ave","McKeesport","15132","PA","USA","40.356346","-79.83151"
"https://www.zillow.com/homedetails/117-Belmont-St-Duquesne-PA-15110/2057831650_zpid/","","","11500","","1158","","09/15/2023","1072","sqft","10.73","4464.9","sqft","2.58","2","1","","Sandra Coffee","No","No","","117 Belmont St","Duquesne","15110","PA","USA","40.371784","-79.85788"
"https://www.zillow.com/homedetails/3032-Highland-Ave-McKeesport-PA-15132/11499623_zpid/","","","15000","","1264","12800","09/14/2023","1880","sqft","7.98","0.25","acres","59784.77","3","1","","Thomas Bencho","No","No","","3032 Highland Ave","McKeesport","15132","PA","USA","40.361122","-79.831894"
