Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/604-Meade-Dr-Coraopolis-PA-15108/11612096_zpid/","","","259900","259900","1834","122000","10/06/2023","","","","9099.68","sqft","28.56","3","2","","Gina Cuccaro","No","No","","604 Meade Dr","Coraopolis","15108","PA","USA","40.535225","-80.24098"
"https://www.zillow.com/homedetails/175-Indian-Creek-Rd-Verona-PA-15147/11449146_zpid/","","","255000","255000","1884","67700","10/04/2023","","","","0.66","acres","383920.51","3","2","","Pamela Michalek-Shirey","No","No","","175 Indian Creek Rd","Verona","15147","PA","USA","40.49962","-79.8329"
"https://www.zillow.com/homedetails/20-Locust-Ln-Pittsburgh-PA-15241/11432776_zpid/","","","259200","259200","1851","118800","10/02/2023","1238","sqft","209.37","8028.11","sqft","32.29","3","2","","Sandra Gavala","No","No","","20 Locust Ln","Pittsburgh","15241","PA","USA","40.35219","-80.054115"
"https://www.zillow.com/homedetails/39-Seneca-Dr-Pittsburgh-PA-15228/11359933_zpid/","","","257500","257500","1798","128600","09/29/2023","","","","6534","sqft","39.41","3","2","","Barbara Fisher","No","No","","39 Seneca Dr","Pittsburgh","15228","PA","USA","40.367245","-80.05661"
"https://www.zillow.com/homedetails/402-Broughton-Rd-Bethel-Park-PA-15102/11471322_zpid/","","","255000","255400","1817","130000","09/29/2023","1800","sqft","141.67","0.26","acres","971428.57","3","3","","Marjory Stawiarski","No","No","","402 Broughton Rd","Bethel Park","15102","PA","USA","40.339268","-80.02052"
"https://www.zillow.com/homedetails/1721-Gina-Dr-West-Mifflin-PA-15122/11504861_zpid/","","","252000","252000","1580","115400","09/29/2023","1202","sqft","209.65","7150","sqft","35.24","3","3","","J. Kevin Williams","No","No","","1721 Gina Dr","West Mifflin","15122","PA","USA","40.33384","-79.93275"
"https://www.zillow.com/homedetails/229-Locust-Dr-Coraopolis-PA-15108/11476996_zpid/","","","256000","256000","1895","131000","09/26/2023","1690","sqft","151.48","1","acres","256000","3","2","","Rosanna Coccoli","No","No","","229 Locust Dr","Coraopolis","15108","PA","USA","40.4771","-80.17936"
"https://www.zillow.com/homedetails/117-Highland-Ave-Pittsburgh-PA-15229/11441774_zpid/","","","255000","255000","1949","90800","09/22/2023","1382","sqft","184.52","5401.44","sqft","47.21","3","2","","Kristi Stebler","No","No","","117 Highland Ave","Pittsburgh","15229","PA","USA","40.522053","-80.0303"
"https://www.zillow.com/homedetails/2521-Applegate-Ave-Bethel-Park-PA-15102/11508567_zpid/","","","255000","255000","2889","184300","09/22/2023","2507","sqft","101.72","0.29","acres","871199.18","4","3","","Julie Manion","No","No","","2521 Applegate Ave","Bethel Park","15102","PA","USA","40.334183","-80.02805"
"https://www.zillow.com/homedetails/928-Delfield-Dr-Bethel-Park-PA-15102/11579820_zpid/","","","251000","251000","2116","167000","09/22/2023","1568","sqft","160.08","0.46","acres","545652.17","3","3","","Jason Wilcox","No","No","","928 Delfield Dr","Bethel Park","15102","PA","USA","40.307884","-80.047844"
"https://www.zillow.com/homedetails/1301-Hillsdale-Dr-Monroeville-PA-15146/11652195_zpid/","","","256000","256000","1716","121100","09/22/2023","1073","sqft","238.58","0.25","acres","1013861.39","3","2","","Alexandra McCrossin","No","No","","1301 Hillsdale Dr","Monroeville","15146","PA","USA","40.41881","-79.74644"
"https://www.zillow.com/homedetails/24-Barton-Dr-Pittsburgh-PA-15221/11418466_zpid/","","","255000","255000","1995","145500","09/21/2023","1454","sqft","175.38","7901.78","sqft","32.27","3","3","","Kenneth Mandrier","No","No","","24 Barton Dr","Pittsburgh","15221","PA","USA","40.441338","-79.86041"
"https://www.zillow.com/homedetails/1331-Meadowlark-Dr-Pittsburgh-PA-15243/11314214_zpid/","","","257000","257000","1898","121600","09/19/2023","1232","sqft","208.6","7801.6","sqft","32.94","3","2","","Colleen Lehman","No","No","","1331 Meadowlark Dr","Pittsburgh","15243","PA","USA","40.377586","-80.0762"
"https://www.zillow.com/homedetails/5017-Hialeah-Dr-Pittsburgh-PA-15239/11281740_zpid/","","","255000","255000","1650","137700","09/15/2023","1152","sqft","221.35","7544.59","sqft","33.8","3","2","","Michele Trabbold","No","No","","5017 Hialeah Dr","Pittsburgh","15239","PA","USA","40.486042","-79.70428"
"https://www.zillow.com/homedetails/1109-Sunrise-Dr-Pittsburgh-PA-15243/11359404_zpid/","","","250500","250400","1825","153100","09/14/2023","1440","sqft","173.96","7117.7","sqft","35.19","4","2","","Hope Feldman","No","No","","1109 Sunrise Dr","Pittsburgh","15243","PA","USA","40.37086","-80.062836"
"https://www.zillow.com/homedetails/758-Melbourne-St-Pittsburgh-PA-15217/11639226_zpid/","","","252350","252300","1900","126100","09/14/2023","1769","sqft","142.65","2250","sqft","112.16","4","2","","Jill Portland","No","No","","758 Melbourne St","Pittsburgh","15217","PA","USA","40.42195","-79.93149"
"https://www.zillow.com/homedetails/165-Pennsylvania-Ave-Bridgeville-PA-15017/11433733_zpid/","","","257000","256900","1995","118700","09/13/2023","","","","8999.5","sqft","28.56","4","2","","Reed Pirain","No","No","","165 Pennsylvania Ave","Bridgeville","15017","PA","USA","40.353813","-80.09697"
"https://www.zillow.com/homedetails/128-Shafer-Rd-Coraopolis-PA-15108/11584368_zpid/","","","255000","255000","1097","135000","09/11/2023","1156","sqft","220.59","0.58","acres","442939.03","2","1","","Gina Giampietro","No","No","","128 Shafer Rd","Coraopolis","15108","PA","USA","40.527126","-80.22137"
"https://www.zillow.com/homedetails/900-Wettach-St-E-Pittsburgh-PA-15212/2060264164_zpid/","","","252000","","1494","","09/11/2023","1392","sqft","181.03","1250.17","sqft","201.57","3","2","","Gina Giampietro","No","No","","900 Wettach St E","Pittsburgh","15212","PA","USA","",""
"https://www.zillow.com/homedetails/6934-McPherson-Blvd-Pittsburgh-PA-15208/11286412_zpid/","","","255000","254900","1395","104700","09/08/2023","1658","sqft","153.8","2208.49","sqft","115.46","3","1","","Hedy Krenn","No","No","","6934 McPherson Blvd","Pittsburgh","15208","PA","USA","40.45347","-79.90519"
"https://www.zillow.com/homedetails/320-Sunlight-Dr-Coraopolis-PA-15108/11517842_zpid/","","","254900","254800","1898","145500","09/06/2023","1523","sqft","167.37","9870.7","sqft","25.82","3","2","","Dan Geller","No","No","","320 Sunlight Dr","Coraopolis","15108","PA","USA","40.52887","-80.194595"
"https://www.zillow.com/homedetails/253-Hazelwood-Ave-Pittsburgh-PA-15202/11404748_zpid/","","","252000","252000","1693","156800","08/31/2023","1300","sqft","193.85","3937.82","sqft","63.99","3","2","","Julia Snider","No","No","","253 Hazelwood Ave","Pittsburgh","15202","PA","USA","40.515053","-80.10412"
"https://www.zillow.com/homedetails/1019-Willow-Dr-Pittsburgh-PA-15237/11482017_zpid/","","","255000","255000","1734","126200","08/31/2023","1036","sqft","246.14","8123.94","sqft","31.39","2","1","","Meredith Baer","No","No","","1019 Willow Dr","Pittsburgh","15237","PA","USA","40.537697","-80.034004"
"https://www.zillow.com/homedetails/1126-Greenfield-Ave-Pittsburgh-PA-15217/11639951_zpid/","","","255000","255000","1631","114000","08/31/2023","1370","sqft","186.13","2500.34","sqft","101.99","3","2","","Dave Knoll","No","No","","1126 Greenfield Ave","Pittsburgh","15217","PA","USA","40.420757","-79.92971"
"https://www.zillow.com/homedetails/503-Keystone-St-Pittsburgh-PA-15215/11332903_zpid/","","","255000","255000","1645","144800","08/29/2023","1529","sqft","166.78","2587.46","sqft","98.55","3","2","","Julie Mikus","No","No","","503 Keystone St","Pittsburgh","15215","PA","USA","40.499126","-79.937164"
"https://www.zillow.com/homedetails/117-Keifer-Dr-Pittsburgh-PA-15241/11432526_zpid/","","","257000","257000","1999","175200","08/28/2023","1532","sqft","167.75","10345.5","sqft","24.84","3","3","","Tabitha Pauley","No","No","","117 Keifer Dr","Pittsburgh","15241","PA","USA","40.35458","-80.05404"
