Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/2133-E-Beckert-Ave-Pittsburgh-PA-15212/11611451_zpid/","","","185000","176700","1481","112000","10/16/2023","914","sqft","202.41","6690.82","sqft","27.65","2","2","","Jennifer Engel","No","No","","2133 E Beckert Ave","Pittsburgh","15212","PA","USA","40.47217","-79.97962"
"https://www.zillow.com/homedetails/Markvue-Manor-Pl-Irwin-PA-15642/294919085_zpid/","","","185000","186200","1749","19960","10/06/2023","","","","0.29","acres","637951.23","3","2","","","No","No","","Markvue Manor Pl","Irwin","15642","PA","USA","40.3496","-79.78295"
"https://www.zillow.com/homedetails/1120-Constitution-St-Tarentum-PA-15084/11279027_zpid/","","","183000","176100","1244","59300","10/05/2023","1656","sqft","110.51","3319.27","sqft","55.13","3","2","","Bridget Varrato","No","No","","1120 Constitution St","Tarentum","15084","PA","USA","40.607964","-79.75499"
"https://www.zillow.com/homedetails/542-Beaufort-Ave-Pittsburgh-PA-15226/11565913_zpid/","","","181261","181300","1427","91600","09/28/2023","1040","sqft","174.29","4835.16","sqft","37.49","2","2","","John Barley","No","No","","542 Beaufort Ave","Pittsburgh","15226","PA","USA","40.39942","-80.01656"
"https://www.zillow.com/homedetails/434-Catoma-St-Pittsburgh-PA-15212/11387567_zpid/","","","182000","182000","1250","30400","09/27/2023","960","sqft","189.58","2617.96","sqft","69.52","2","1","","Lillian Denhardt","No","No","","434 Catoma St","Pittsburgh","15212","PA","USA","40.46099","-80.002815"
"https://www.zillow.com/homedetails/545-Grant-Ave-Carnegie-PA-15106/11253276_zpid/","","","185000","185000","1529","71500","09/25/2023","1312","sqft","141.01","3001.28","sqft","61.64","3","2","","Kristi Stebler","No","No","","545 Grant Ave","Carnegie","15106","PA","USA","40.392593","-80.094925"
"https://www.zillow.com/homedetails/340-Meadowlark-Ln-West-Mifflin-PA-15122/11427965_zpid/","","","185000","185000","1269","68000","09/25/2023","930","sqft","198.92","5998.21","sqft","30.84","3","2","","Mary Alice Macioce","No","No","","340 Meadowlark Ln","West Mifflin","15122","PA","USA","40.346542","-79.934944"
"https://www.zillow.com/homedetails/309-Millport-Rd-West-Mifflin-PA-15122/11467041_zpid/","","","185000","185000","1264","71600","09/22/2023","925","sqft","200","5684.58","sqft","32.54","3","1","","Jennifer Engel","No","No","","309 Millport Rd","West Mifflin","15122","PA","USA","40.340443","-79.92682"
"https://www.zillow.com/homedetails/4833-Havana-Dr-Pittsburgh-PA-15239/11281909_zpid/","","","185000","185000","1674","128800","09/21/2023","","","","8049.89","sqft","22.98","3","2","","Diana Adams","No","No","","4833 Havana Dr","Pittsburgh","15239","PA","USA","40.481487","-79.70849"
"https://www.zillow.com/homedetails/89-Grant-Ave-Etna-PA-15223/11372836_zpid/","","","180200","180200","3340","91500","09/21/2023","","","","8145.72","sqft","22.12","5","2","","Jordana Zober","No","No","","89 Grant Ave","Etna","15223","PA","USA","40.50598","-79.9508"
"https://www.zillow.com/homedetails/343-Orin-St-Pittsburgh-PA-15235/11416482_zpid/","","","182385","182400","1084","44400","09/20/2023","1534","sqft","118.9","749.23","sqft","243.43","3","1","","Deanna Davis","No","No","","343 Orin St","Pittsburgh","15235","PA","USA","40.45979","-79.85304"
"https://www.zillow.com/homedetails/576-Glen-Shannon-Dr-Pittsburgh-PA-15234/11306884_zpid/","","","185000","185000","1497","101000","09/19/2023","936","sqft","197.65","6137.6","sqft","30.14","3","1","","Benedict Serratore","No","No","","576 Glen Shannon Dr","Pittsburgh","15234","PA","USA","40.37752","-80.01605"
"https://www.zillow.com/homedetails/2066-McKees-Rocks-Rd-Mc-Kees-Rocks-PA-15136/11320843_zpid/","","","185000","185000","1270","45000","09/19/2023","","","","0.31","acres","590488.35","2","1","","Joey Booker","No","No","","2066 McKees Rocks Rd","Mc Kees Rocks","15136","PA","USA","40.458015","-80.11042"
"https://www.zillow.com/homedetails/1321-Sarah-St-S-Pittsburgh-PA-15203/2060367887_zpid/","","","185000","","1764","","09/18/2023","2354","sqft","78.59","1881.79","sqft","98.31","4","2","","Jacob Rady","No","No","","1321 Sarah St S","Pittsburgh","15203","PA","USA","",""
"https://www.zillow.com/homedetails/134-Bost-Dr-West-Mifflin-PA-15122/11466760_zpid/","","","182000","182000","1326","57600","09/16/2023","900","sqft","202.22","7405.2","sqft","24.58","2","2","","Devie Rollison","No","No","","134 Bost Dr","West Mifflin","15122","PA","USA","40.345306","-79.92839"
"https://www.zillow.com/homedetails/4508-Dawn-Rd-Gibsonia-PA-15044/11318012_zpid/","","","184000","184100","1594","99900","09/14/2023","","","","10001.38","sqft","18.4","3","1","","Nicole Chirdon","No","No","","4508 Dawn Rd","Gibsonia","15044","PA","USA","40.62435","-79.9179"
"https://www.zillow.com/homedetails/106-Hershey-Dr-McKeesport-PA-15132/11502132_zpid/","","","185000","185000","1500","100000","09/13/2023","1440","sqft","128.47","7540.24","sqft","24.54","3","2","","Lisa Bossong","No","No","","106 Hershey Dr","McKeesport","15132","PA","USA","40.32748","-79.82831"
"https://www.zillow.com/homedetails/1245-Merrick-Ave-Pittsburgh-PA-15226/11649571_zpid/","","","185000","185000","1397","87400","09/11/2023","1272","sqft","145.44","4839.52","sqft","38.23","3","2","","Denise Bigante","No","No","","1245 Merrick Ave","Pittsburgh","15226","PA","USA","40.390793","-80.01123"
"https://www.zillow.com/homedetails/101-Weber-Rd-Sewickley-PA-15143/11481194_zpid/","","","184000","186900","2068","231600","09/08/2023","2517","sqft","73.1","1.4","acres","131428.57","4","2","","Kathy Armstrong","No","No","","101 Weber Rd","Sewickley","15143","PA","USA","40.537846","-80.157425"
"https://www.zillow.com/homedetails/232-Hillary-Dr-Verona-PA-15147/11490774_zpid/","","","185000","185000","1554","77500","09/08/2023","1141","sqft","162.14","6599.34","sqft","28.03","3","2","","Matthew Warner","No","No","","232 Hillary Dr","Verona","15147","PA","USA","40.48867","-79.83115"
"https://www.zillow.com/homedetails/440-Oliver-Dr-White-Oak-PA-15131/11541612_zpid/","","","183000","183000","1975","118300","09/08/2023","1699","sqft","107.71","8193.64","sqft","22.33","3","3","","Tim Johns","No","No","","440 Oliver Dr","White Oak","15131","PA","USA","40.335705","-79.81534"
"https://www.zillow.com/homedetails/209-Cobb-Ave-Pittsburgh-PA-15205/11588223_zpid/","","","183000","183000","1427","75400","09/05/2023","876","sqft","208.9","6324.91","sqft","28.93","2","2","","Carri Czyzewski","No","No","","209 Cobb Ave","Pittsburgh","15205","PA","USA","40.445107","-80.07601"
"https://www.zillow.com/homedetails/221-W-10th-Ave-Homestead-PA-15120/11292882_zpid/","","","182000","181900","1562","29100","09/01/2023","1678","sqft","108.46","3310.56","sqft","54.98","3","2","","Ariel Wig","No","No","","221 W 10th Ave","Homestead","15120","PA","USA","40.403408","-79.91293"
"https://www.zillow.com/homedetails/137-Vista-St-Pittsburgh-PA-15223/11331153_zpid/","","","185000","184900","1664","60400","09/01/2023","1366","sqft","135.43","9822.78","sqft","18.83","2","2","","Gina Giampietro","No","No","","137 Vista St","Pittsburgh","15223","PA","USA","40.49199","-79.95287"
"https://www.zillow.com/homedetails/5955-Heckert-Rd-Bakerstown-PA-15007/11363696_zpid/","","","180745","180700","1670","84200","09/01/2023","","","","5445","sqft","33.19","2","2","","Catherine Fowler","No","No","","5955 Heckert Rd","Bakerstown","15007","PA","USA","40.65331","-79.934685"
"https://www.zillow.com/homedetails/735-Parkway-Ave-Pittsburgh-PA-15235/11416724_zpid/","","","184000","184000","1548","75900","09/01/2023","1256","sqft","146.5","6277","sqft","29.31","3","3","","Matthew Gillespie","No","No","","735 Parkway Ave","Pittsburgh","15235","PA","USA","40.45552","-79.84952"
"https://www.zillow.com/homedetails/145-Brallier-Ct-Pittsburgh-PA-15236/11642377_zpid/","","","182000","182000","1584","87300","09/01/2023","900","sqft","202.22","8228.48","sqft","22.12","3","2","","Gina Rowlands","No","No","","145 Brallier Ct","Pittsburgh","15236","PA","USA","40.38842","-79.95899"
"https://www.zillow.com/homedetails/3470-Brickley-Dr-Pittsburgh-PA-15227/11303482_zpid/","","","185000","185000","1564","99700","08/31/2023","1033","sqft","179.09","7270.16","sqft","25.45","3","2","","Michael Pohlot","No","No","","3470 Brickley Dr","Pittsburgh","15227","PA","USA","40.3786","-79.950455"
