Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/1400-Beechwood-Blvd-Pittsburgh-PA-15217/64713475_zpid/","","","1181707","1325100","8253","759300","10/17/2023","3500","sqft","337.63","43.56","sqft","27128.26","3","5","","Roslyn Neiman","No","No","","1400 Beechwood Blvd","Pittsburgh","15217","PA","USA","40.444065","-79.91805"
"https://www.zillow.com/homedetails/2501-Adele-Ct-Sewickley-PA-15143/250808769_zpid/","","","620000","593700","3592","418100","10/16/2023","3652","sqft","169.77","0.25","acres","2439024.39","3","4","","Zita Billmann","No","No","","2501 Adele Ct","Sewickley","15143","PA","USA","40.604435","-80.10239"
"https://www.zillow.com/homedetails/1707-Grand-Cypress-Ln-Presto-PA-15142/59844953_zpid/","","","490000","490600","2944","280000","10/13/2023","2552","sqft","192.01","","","","3","3","","Michele Belice","No","No","","1707 Grand Cypress Ln","Presto","15142","PA","USA","40.389187","-80.11187"
"https://www.zillow.com/homedetails/423-Noble-St-Pittsburgh-PA-15232/11525462_zpid/","","","449000","450500","2825","251300","10/12/2023","1734","sqft","258.94","1742.4","sqft","257.69","3","3","","Molly Howard","No","No","","423 Noble St","Pittsburgh","15232","PA","USA","40.454617","-79.93646"
"https://www.zillow.com/homedetails/457-Fairmont-Dr-Wexford-PA-15090/248643615_zpid/","","","483900","483900","2897","338900","10/11/2023","2435","sqft","198.73","4295.02","sqft","112.67","3","3","","John Adair","No","No","","457 Fairmont Dr","Wexford","15090","PA","USA","40.65022","-80.073586"
"https://www.zillow.com/homedetails/42-S-27th-St-Pittsburgh-PA-15203/123272587_zpid/","","","472500","472500","2892","334700","10/10/2023","1520","sqft","310.86","1149.98","sqft","410.88","3","3","","Zita Billmann","No","No","","42 S 27th St","Pittsburgh","15203","PA","USA","40.425686","-79.96791"
"https://www.zillow.com/homedetails/609-Juniper-Ln-Bridgeville-PA-15017/102974031_zpid/","","","450000","450000","2500","227800","10/06/2023","1937","sqft","232.32","9552.71","sqft","47.11","3","4","","Dan Haeck","No","No","","609 Juniper Ln","Bridgeville","15017","PA","USA","40.3839","-80.102036"
"https://www.zillow.com/homedetails/879-Beacon-Ln-Pittsburgh-PA-15237/123278218_zpid/","","","427000","427000","5174","318000","10/02/2023","21070","sqft","20.27","3484.8","sqft","122.53","3","3","","Ruth Weigers","No","No","","879 Beacon Ln","Pittsburgh","15237","PA","USA","40.571606","-80.01979"
"https://www.zillow.com/homedetails/923-Copper-Creek-Trl-Gibsonia-PA-15044/338888208_zpid/","","","453200","","1803","400","09/26/2023","1600","sqft","283.25","0.58","acres","787352.33","3","2","","Michelle Mattioli","No","No","","923 Copper Creek Trl","Gibsonia","15044","PA","USA","40.627365","-79.913765"
"https://www.zillow.com/homedetails/265-Merion-Dr-Pittsburgh-PA-15228/11311918_zpid/","","","650000","649900","3920","333100","09/22/2023","","","","1589.94","sqft","408.82","4","4","","Michele Belice","No","No","","265 Merion Dr","Pittsburgh","15228","PA","USA","40.379406","-80.04004"
